District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
1,Oregon,"118,601","588,677","13,342","3,511","61,327","2,122",849,"31,876","820,305"
2,Oregon,"107,806","640,761","4,917","14,317","7,363","1,233",249,"21,515","798,161"
3,Oregon,"91,621","582,270","41,007","4,755","56,673","4,377","1,539","33,667","815,909"
4,Oregon,"60,526","656,161","6,566","8,391","17,041","1,251",453,"30,777","781,166"
5,Oregon,"133,344","614,742","7,596","7,019","20,141","4,376",0,"26,218","813,436"
1,Pennsylvania,"123,932","284,391","241,691",409,"53,913",0,"1,371","14,904","720,611"
2,Pennsylvania,"44,778","212,834","408,870","2,137","36,276",633,"3,666","16,224","725,418"
3,Pennsylvania,"16,077","632,688","29,093",702,"6,360",125,977,"15,870","701,892"
4,Pennsylvania,"52,245","585,681","52,248",792,"18,377",102,919,"14,527","724,891"
5,Pennsylvania,"13,129","644,589","17,273",635,"12,747",393,799,"9,543","699,108"
6,Pennsylvania,"43,307","597,631","31,484",263,"37,096",304,"1,045","9,522","720,652"
7,Pennsylvania,"27,813","595,681","36,151",525,"36,264",0,579,"12,610","709,623"
8,Pennsylvania,"35,083","599,805","26,748","1,065","33,585",0,894,"9,903","707,083"
9,Pennsylvania,"15,368","645,535","19,160",249,"4,323",0,511,"11,399","696,545"
10,Pennsylvania,"28,044","634,314","25,417","1,159","6,579",107,937,"9,045","705,602"
11,Pennsylvania,"43,404","603,503","36,092",629,"9,162",0,432,"11,694","704,916"
12,Pennsylvania,"11,638","643,708","21,128",379,"11,856",145,420,"11,065","700,339"
13,Pennsylvania,"84,031","423,026","134,441",682,"67,232",87,"3,933","15,669","729,101"
14,Pennsylvania,"15,075","488,320","145,911",550,"23,593",221,"1,719","24,074","699,463"
15,Pennsylvania,"114,311","549,343","29,224",879,"20,353",0,530,"13,404","728,044"
16,Pennsylvania,"134,138","528,601","41,854",633,"12,600",45,816,"13,908","732,595"
17,Pennsylvania,"58,154","563,916","37,671",149,"12,971",90,"1,317","12,624","686,892"
18,Pennsylvania,"9,682","657,078","14,645",477,"13,705",151,343,"13,647","709,728"
1,Rhode Island,"86,661","364,692","39,467","1,426","19,040",77,"5,817","15,377","532,557"
2,Rhode Island,"65,424","410,471","17,897","1,916","16,080",134,862,"10,957","523,741"
1,South Carolina,"46,433","528,361","146,612","1,866","13,670",794,587,"13,356","751,679"
2,South Carolina,"37,713","469,898","163,519","1,018","13,500",642,629,"14,880","701,799"
3,South Carolina,"35,355","504,342","121,265","1,368","4,109",2,632,"13,746","680,819"
4,South Carolina,"54,758","485,946","134,743","1,082","17,956",951,615,"13,580","709,631"
5,South Carolina,"25,490","452,753","194,390","2,156","7,931",72,821,"9,689","693,302"
6,South Carolina,"32,843","228,415","378,247","1,043","6,618",263,847,"13,245","661,521"
7,South Carolina,"29,963","450,092","193,211","3,657","6,431",385,"2,062","11,594","697,395"
1,South Dakota,"30,079","710,681","12,807","68,201","11,901",712,"1,723","22,365","858,469"
1,Tennessee,"24,947","651,895","17,597","2,392","4,219",169,332,"10,482","712,033"
2,Tennessee,"28,308","630,794","43,888","1,433","10,732",736,476,"15,745","732,112"
3,Tennessee,"27,794","596,113","77,228","2,953","8,544",65,651,"13,072","726,420"
4,Tennessee,"44,946","609,692","65,499","1,204","12,421",86,"1,325","20,208","755,381"
5,Tennessee,"69,661","456,928","184,916","2,859","21,779",0,"3,880","19,777","759,800"
6,Tennessee,"30,800","659,513","32,205","2,410","6,263",280,985,"12,621","745,077"
7,Tennessee,"36,649","607,114","77,069","1,869","15,147",748,910,"14,344","753,850"
8,Tennessee,"19,484","515,924","145,420","2,071","13,963",159,"1,465","11,261","709,747"
9,Tennessee,"50,871","171,834","457,046",412,"13,307",492,"1,845","10,072","705,879"
1,Texas,"122,556","447,146","127,222","1,474","7,535",5,541,"9,282","715,761"
2,Texas,"227,130","362,504","87,343","1,248","59,917",136,"2,391","13,194","753,863"
3,Texas,"124,647","479,132","70,809","3,694","121,473",666,"1,549","17,656","819,626"
4,Texas,"97,896","521,237","76,121","5,803","6,513",94,"1,149","16,399","725,212"
5,Texas,"206,009","396,471","113,172","1,934","15,108",308,262,"10,614","743,878"
6,Texas,"164,637","373,309","150,897","1,965","35,744","1,296","1,595","13,556","742,999"
7,Texas,"242,199","347,259","92,799",243,"79,749",117,"2,098","13,176","777,640"
8,Texas,"173,045","520,477","62,843","4,217","23,233",100,332,"17,940","802,187"
9,Texas,"299,554","85,099","294,750",889,"93,368",696,"1,489","6,709","782,554"
10,Texas,"228,951","416,037","86,382","1,440","44,965",195,"2,804","11,996","792,770"
11,Texas,"291,656","422,529","26,783","1,806","8,085",362,782,"9,150","761,153"
12,Texas,"172,563","499,456","64,437","2,180","31,080","1,605",549,"16,511","788,381"
13,Texas,"187,164","450,957","35,241","4,507","14,860",671,457,"13,508","707,365"
14,Texas,"179,820","380,272","143,928","1,257","19,246",209,356,"14,789","739,877"
15,Texas,"617,572","121,929","14,657",242,"8,039",200,540,"3,163","766,342"
16,Texas,"589,009","105,539","27,463","1,823","10,353",0,"1,404","5,571","741,162"
17,Texas,"186,295","416,106","96,428","1,185","37,302",54,172,"12,598","750,140"
18,Texas,"326,443","123,905","275,252","1,265","29,642",111,"2,127","5,877","764,622"
19,Texas,"264,606","394,121","40,666","2,727","9,409",107,935,"12,946","725,517"
20,Texas,"525,191","169,339","42,405","1,027","22,326","1,150",556,"12,527","774,521"
21,Texas,"219,618","476,050","30,213","1,588","28,489",513,"1,273","13,625","771,369"
22,Texas,"215,021","356,182","113,971","2,776","154,807",95,"1,925","16,793","861,570"
23,Texas,"521,424","184,444","21,889","2,535","10,908",95,463,"5,974","747,732"
24,Texas,"191,979","377,578","77,181","2,094","105,439","2,270","2,733","20,694","779,968"
25,Texas,"134,116","529,902","51,300","2,088","20,054","4,371",928,"19,275","762,034"
26,Texas,"144,687","534,310","65,815","2,359","52,268",0,595,"18,091","818,125"
27,Texas,"385,429","293,565","35,564","1,526","11,082",356,376,"6,815","734,713"
28,Texas,"566,908","115,412","26,419",775,"7,713",0,956,"6,784","724,967"
29,Texas,"586,477","72,794","81,866",738,"11,936",246,286,"4,428","758,771"
30,Texas,"294,909","112,145","325,288","1,095","11,717",73,263,"8,892","754,382"
31,Texas,"195,546","456,764","86,800","1,153","38,296","1,336","1,063","24,016","804,974"
32,Texas,"194,345","373,840","100,529","1,603","57,862",64,"1,037","19,246","748,526"
33,Texas,"496,209","103,504","119,274","1,005","14,550",0,2,"5,779","740,323"
34,Texas,"606,908","107,534","8,805",999,"4,380",86,363,"1,832","730,907"
35,Texas,"519,643","209,616","66,181",983,"14,454",191,"1,634","11,207","823,909"
36,Texas,"172,054","458,598","68,761","2,060","14,982",433,427,"13,959","731,274"
1,Utah,"95,596","602,294","7,140","6,801","9,904","1,997",445,"16,220","740,397"
2,Utah,"114,689","575,421","8,406","5,513","21,930","8,284","1,005","14,959","750,207"
3,Utah,"76,186","612,330","3,961","12,018","15,361","4,548",621,"18,276","743,301"
4,Utah,"122,839","574,115","12,991","5,252","20,953","8,799",710,"16,355","762,014"
1,Vermont,"10,422","584,851","7,694","2,277","8,627",282,950,"10,939","626,042"
1,Virginia,"72,456","511,365","131,108","1,817","26,911",754,"1,080","25,746","771,237"
2,Virginia,"59,560","458,811","160,316","2,164","39,209",485,"1,585","26,359","748,489"
3,Virginia,"43,751","234,729","417,135","2,669","12,794",611,"2,562","23,977","738,228"
4,Virginia,"40,788","440,071","233,815","2,157","16,697",598,"1,296","18,477","753,899"
5,Virginia,"25,120","539,096","143,988",783,"13,230",190,903,"13,541","736,851"
6,Virginia,"38,565","592,951","80,483","1,501","13,458",241,969,"17,199","745,367"
7,Virginia,"49,532","550,112","117,417","1,983","39,124",302,"2,064","17,946","778,480"
8,Virginia,"161,845","416,170","106,195",427,"95,155",555,"2,836","25,169","808,352"
9,Virginia,"16,628","642,518","39,289",318,"9,615",45,"2,921","9,113","720,447"
10,Virginia,"105,618","498,189","53,146","1,590","113,337","1,011","4,881","29,898","807,670"
11,Virginia,"139,490","355,467","100,157","1,006","140,380",265,"2,369","34,839","773,973"
1,Washington,"65,521","532,498","7,546","6,865","72,085","1,188",799,"26,549","713,051"
2,Washington,"76,094","520,441","19,575","8,216","61,769","4,774","1,078","35,004","726,951"
3,Washington,"66,679","574,343","9,367","5,665","22,971","2,674",581,"29,289","711,569"
4,Washington,"272,713","386,595","5,853","14,957","9,348",233,920,"19,079","709,698"
5,Washington,"43,664","585,213","10,260","9,955","16,074","3,171",624,"27,465","696,426"
6,Washington,"49,160","529,063","21,710","12,932","26,220","3,471",876,"37,471","680,903"
7,Washington,"53,697","523,183","35,010","4,929","81,996","4,143","2,007","41,352","746,317"
8,Washington,"81,057","520,332","21,433","5,651","67,029","2,881",843,"31,101","730,327"
9,Washington,"92,236","343,523","78,166","3,203","161,119","10,801",883,"38,331","728,262"
10,Washington,"85,598","481,682","44,300","10,108","45,093","12,240","1,322","46,504","726,847"
1,West Virginia,"8,001","574,787","14,564",416,"5,892",339,311,"10,649","614,959"
2,West Virginia,"12,496","568,550","29,779",421,"5,042",60,992,"11,539","628,879"
3,West Virginia,"6,166","558,728","25,267","1,239","3,144",80,186,"5,480","600,290"
1,Wisconsin,"69,717","574,943","38,944","2,504","15,973",59,388,"11,545","714,073"
2,Wisconsin,"46,095","620,736","32,017","2,635","30,742",211,371,"17,238","750,045"
3,Wisconsin,"17,774","662,807","7,081","4,118","16,871",76,352,"10,185","719,264"
4,Wisconsin,"121,065","309,191","237,562","3,062","26,669",130,887,"18,432","716,998"
5,Wisconsin,"42,077","632,379","16,285","1,377","18,218",217,227,"13,073","723,853"
6,Wisconsin,"31,886","636,416","11,615","3,037","17,993",122,257,"9,238","710,564"
7,Wisconsin,"15,857","650,963","4,566","13,471","11,613",412,350,"11,817","709,049"
8,Wisconsin,"36,678","634,248","8,951","17,141","16,634",169,"1,615","12,055","727,491"
1,Wyoming,"57,845","492,659","4,704","12,140","4,885",237,96,"13,541","586,107"
