District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
12,California,"111,924","324,571","38,543","1,101","241,651","2,945","2,085","26,868","749,688"
13,California,"169,200","264,278","127,178","2,574","152,029","3,328","2,982","34,207","755,776"
14,California,"184,164","258,060","21,168",982,"252,145","10,020","2,461","28,062","757,062"
15,California,"171,040","251,295","45,359","2,071","258,588","8,667",699,"34,081","771,800"
16,California,"447,635","165,221","35,730","4,171","70,753","1,675",731,"14,709","740,625"
17,California,"123,131","187,739","18,171","1,456","401,361","6,288","1,196","21,102","760,444"
18,California,"117,774","406,785","12,715",790,"167,720",984,"2,256","29,750","738,774"
19,California,"316,342","192,674","21,438","1,430","204,996","2,412","2,454","23,397","765,143"
20,California,"388,510","270,159","11,805","1,967","37,037","2,069","1,058","21,147","733,752"
21,California,"535,377","121,487","26,200","3,579","21,187","1,013",159,"7,369","716,371"
22,California,"346,341","297,229","24,444","2,601","53,536",620,868,"15,674","741,313"
23,California,"278,191","347,862","49,665","2,856","38,237","1,195",614,"20,070","738,690"
24,California,"264,994","403,071","13,859","3,190","34,040","1,483",336,"15,784","736,757"
25,California,"268,191","308,131","57,559","1,541","64,591",259,"1,331","18,713","720,316"
26,California,"326,195","316,289","12,377","1,789","50,358","1,457","1,307","15,312","725,084"
27,California,"204,933","193,775","33,402","1,371","277,870","1,520","2,611","17,757","733,239"
28,California,"173,304","401,642","20,873","1,038","94,546",843,"3,311","19,340","714,897"
29,California,"495,946","132,879","27,098",597,"54,581",466,"1,395","7,570","720,532"
30,California,"223,047","384,583","32,445","1,474","101,169",927,"4,934","22,529","771,108"
31,California,"382,284","200,431","75,509","1,956","57,817","3,788","1,573","15,124","738,482"
32,California,"464,333","119,337","12,697","1,423","123,041","1,195","1,271","9,630","732,927"
33,California,"93,500","458,115","25,889","1,120","101,244","3,229","3,196","31,980","718,273"
34,California,"471,669","75,521","33,485","1,530","141,387",693,"1,305","9,560","735,150"
35,California,"529,021","96,384","43,913","1,531","51,580",920,"1,296","15,174","739,819"
36,California,"374,173","301,450","33,339","4,499","23,210","1,291",765,"11,918","750,645"
37,California,"275,177","182,414","168,770",842,"70,178","1,268","3,067","21,065","722,781"
38,California,"453,285","118,992","26,656","2,252","110,743","1,661","1,962","9,882","725,433"
39,California,"255,413","219,155","12,369","1,828","225,540",638,564,"15,817","731,324"
40,California,"631,742","35,342","32,337",802,"17,822",483,606,"1,903","721,037"
41,California,"432,292","186,793","67,628","1,981","37,912","2,690",513,"15,821","745,630"
42,California,"294,532","330,400","37,852","2,689","77,349","1,918",628,"27,492","772,860"
43,California,"359,607","100,255","165,932",807,"93,356","3,597","2,905","17,985","744,444"
44,California,"494,460","48,223","105,283","2,412","46,835","6,332","1,099","7,560","712,204"
45,California,"137,862","396,183","16,640",317,"188,229",741,"1,424","30,154","771,550"
46,California,"496,783","129,518","13,198",994,"87,740","2,226","1,207","6,744","738,410"
47,California,"260,614","219,737","49,123","4,456","157,562","6,491","1,084","19,272","718,339"
48,California,"146,880","407,795","8,755","2,419","131,488","2,878","2,304","21,563","724,082"
49,California,"189,640","452,393","18,380","1,860","50,002","2,355","1,767","19,431","735,828"
50,California,"236,904","418,673","17,127","5,825","45,890","2,864","2,849","23,354","753,486"
51,California,"511,457","94,625","40,629","2,792","63,094","1,424",151,"10,640","724,812"
52,California,"118,641","434,224","20,832",741,"143,186","3,010","1,349","33,515","755,498"
53,California,"265,535","304,953","70,035","1,481","96,994","4,259","3,065","30,261","776,583"
1,Colorado,"221,983","462,987","64,797","3,792","26,488",435,"2,120","21,034","803,636"
2,Colorado,"82,149","645,373","6,469","2,081","26,833",966,"1,434","16,973","782,278"
3,Colorado,"181,423","520,700","7,008","9,484","4,674","1,720","1,507","11,296","737,812"
4,Colorado,"172,040","570,070","9,494","3,165","15,765",549,"1,414","15,443","787,940"
5,Colorado,"121,565","549,927","44,629","2,666","19,789","2,813","2,542","26,851","770,782"
6,Colorado,"163,880","492,279","67,416","1,888","40,091","1,733","3,283","25,586","796,156"
7,Colorado,"221,238","495,907","13,576","3,163","24,944",283,"1,600","17,259","777,970"
1,Connecticut,"112,282","442,160","105,697",950,"34,184",0,"2,414","13,749","711,436"
2,Connecticut,"61,621","576,560","26,814","1,640","22,925",46,497,"19,544","709,647"
3,Connecticut,"115,273","465,302","91,765","1,101","32,797",70,661,"13,524","720,493"
4,Connecticut,"142,700","450,685","86,824",153,"39,198",154,"2,199","14,829","736,742"
5,Connecticut,"121,907","505,089","44,369",391,"26,506",198,"3,604","10,504","712,568"
1,Delaware,"85,306","596,375","200,433","2,397","35,950",265,"3,242","21,966","945,934"
1,Florida,"47,409","551,659","96,488","2,007","16,725",562,865,"35,213","750,928"
2,Florida,"42,242","463,685","177,676","2,350","14,280",664,956,"16,320","718,173"
3,Florida,"60,956","520,528","97,631","1,781","23,695",476,"1,001","15,037","721,105"
4,Florida,"62,312","512,604","108,092",799,"35,057",175,726,"20,539","740,304"
5,Florida,"106,320","234,560","364,560","2,065","17,826",946,"2,055","15,403","743,735"
6,Florida,"59,083","595,298","70,003","2,234","16,856",477,906,"11,124","755,981"
7,Florida,"157,720","465,382","68,679",977,"26,235",613,"3,715","15,046","738,367"
8,Florida,"73,943","552,546","69,424","2,062","15,233",995,773,"15,770","730,746"
9,Florida,"399,489","281,847","86,146",259,"33,039",340,"5,668","12,888","819,676"
10,Florida,"152,056","481,528","95,995","1,483","34,088",575,"5,818","16,649","788,192"
11,Florida,"73,411","585,559","57,808","1,261","10,560",138,"1,720","10,450","740,907"
12,Florida,"102,132","570,895","35,708","2,216","21,078",489,"1,645","13,616","747,779"
13,Florida,"72,211","560,525","37,618","1,675","27,468",774,"1,716","14,442","716,429"
14,Florida,"226,600","305,644","192,188","1,389","18,476",584,"3,140","17,356","765,377"
15,Florida,"131,023","454,893","91,286",901,"32,693",330,717,"16,613","728,456"
16,Florida,"93,612","595,625","52,159",522,"12,846",70,378,"9,596","764,808"
17,Florida,"131,621","520,681","70,537","1,739","9,324",156,893,"12,697","747,648"
18,Florida,"111,507","508,435","96,324","1,706","19,400",42,952,"9,662","748,028"
19,Florida,"156,774","534,899","59,504",417,"12,349",0,"1,121","9,282","774,346"
20,Florida,"167,711","163,076","404,385","1,115","14,575",108,"3,698","13,098","767,766"
21,Florida,"178,409","437,082","100,047","1,213","22,412",118,"6,220","12,691","758,192"
22,Florida,"172,140","445,494","80,399",580,"16,343",394,"2,236","12,716","730,302"
23,Florida,"291,960","319,246","80,055","1,266","28,906",540,"2,694","10,284","734,951"
24,Florida,"241,764","88,230","392,155",123,"13,993",0,"2,062","7,535","745,862"
25,Florida,"542,757","161,872","38,212",917,"15,705",25,"1,884","3,792","765,164"
26,Florida,"541,186","144,948","71,134",360,"13,476",0,"1,457","4,398","776,959"
27,Florida,"566,557","113,746","51,402",242,"11,751",25,"2,397","4,971","751,091"
1,Georgia,"44,890","430,591","210,221","3,215","14,610",749,"1,614","18,458","724,348"
2,Georgia,"35,412","272,671","356,532","1,280","6,816",672,541,"9,964","683,888"
3,Georgia,"38,910","481,530","173,346",969,"11,638",53,"1,830","14,983","723,259"
4,Georgia,"72,162","183,608","437,903",565,"36,149",0,"3,519","12,613","746,519"
5,Georgia,"46,424","216,234","423,800","1,331","33,654",217,"3,278","12,040","736,978"
6,Georgia,"96,154","441,308","91,353","3,093","80,192",116,"3,782","13,645","729,643"
7,Georgia,"147,215","366,915","161,014",916,"104,266",625,"3,171","20,196","804,318"
8,Georgia,"46,687","423,837","205,572",911,"12,239",41,"1,792","11,505","702,584"
9,Georgia,"90,244","554,538","52,891","1,427","9,094",532,"2,069","9,007","719,802"
10,Georgia,"39,450","473,231","186,165",908,"12,261",39,"1,558","12,653","726,265"
11,Georgia,"77,919","503,594","116,894",972,"27,387",396,"2,493","15,091","744,746"
