"country","firearms","per100","military","lawEnf","pop2021"
"Zambia","158000","0.9000","41040","16000","18920.6510"
"Burkina Faso","175000","0.9000","43780","43000","21497.0960"
"British Virgin Islands","300","0.8000","","500","30.4210"
"Kiribati","900","0.8000","","200","121.3920"
"Bhutan","6000","0.8000","15200","4000","779.8980"
"Togo","58000","0.8000","12850","5000","8478.2500"
"Uganda","331000","0.8000","116660","54000","47123.5310"
"Tanzania","427000","0.8000","190050","37000","61498.4370"
"American Samoa","400","0.7000","","90","55.1000"
"Micronesia","700","0.7000","","200","116.2540"
"Madagascar","168000","0.7000","25320","20000","28427.3280"
"Malaysia","217000","0.7000","428170","102000","32776.1940"
"Palau","100","0.5000","","30","18.1690"
"Marshall Islands","300","0.5000","","80","59.6100"
"Fiji","5000","0.5000","16700","2000","902.9060"
"Sierra Leone","35000","0.5000","10200","12000","8141.3430"
"Rwanda","66000","0.5000","66500","14000","13276.5130"
"Niger","117000","0.5000","11110","10000","25130.8170"
"Eritrea","23000","0.4000","668550","12000","3601.4670"
"Turkmenistan","23000","0.4000","184700","27000","6117.9240"
"Tajikistan","37000","0.4000","56490","9000","9749.6270"
"Uzbekistan","127000","0.4000","268400","150000","33935.7630"
"Ethiopia","377000","0.4000","525600","79000","117876.2270"
"Bangladesh","659000","0.4000","410305","333000","166303.4980"
"Timor-Leste","3000","0.3000","2527","4000","1343.8730"
"Singapore","20000","0.3000","574140","9000","5896.6860"
"Benin","33000","0.3000","8700","26000","12451.0400"
"Malawi","47000","0.3000","24480","8400","19647.6840"
"North Korea","76000","0.3000","8363100","76000","25887.0410"
"Japan","377000","0.3000","745514","252000","126050.8040"
"Solomon Islands","1000","0.2000","","70","703.9960"
"South Korea","79000","0.2000","2688020","115000","51305.1860"
"Taiwan","10000","0","2022150","76000","23855.0100"
"Indonesia","82000","0","1711450","429000","276361.7830"
