municode,cand.id,uf,muni,name,party,yob,votes,elected,coal.votes,total.votes,raw.vote.margin,vote.margin.coal.votes,vote.margin.electorate,tie,approved,ran.2004,elec.year,time.since.app,pre.applied,post.applied,post.approved,pre.approved,uf_mg,uf_sp,uf_BA,occ_agricultor,occ_bureaucrat,occ_business,edu_primary,party_pmdb,party_pfl,party_psdb,party_pt,pending_yes,gini_2000,pt_pres_1998,income_2000,psdb_2000,latitude,longitude,hdi_2000,pop_2000,pt_pref_2000
272.0,269950.0,RO,CEREJEIRAS,IVETE KRUGER CARBONI,PFL,1959.0,156.0,0.0,1912.0,9157.0,-71.0,-0.03713389121338912,-0.007753631101889265,0.0,pending,0,2000.0,1981.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6000000238418579,0.09743222106360792,253.91799926757812,0.0,-13.188888549804688,60.81222152709961,0.7509999871253967,18243.880859375,0.0
35.0,259758.0,RO,PORTO VELHO,FRANCISCO FERNANDO RODRIGUES ROCHA,PSDB,1956.0,673.0,0.0,20759.0,165820.0,-1661.0,-0.08001348812563226,-0.010016885779761188,0.0,no,-2147483648,2004.0,771.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6190000176429749,0.18662804927796361,305.2049865722656,0.11653698939574575,-8.761944770812988,63.90388870239258,0.7630000114440918,335338.90625,0.0
434.0,259951.0,RO,NOVA MAMORE,FRANCISCO ERASMO TAVEIRA DA SILVA,PP,1955.0,104.0,0.0,2025.0,7708.0,-177.0,-0.0874074074074074,-0.022963155163466527,0.0,pending,-2147483648,2004.0,1181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6949999928474426,0.06321674311926606,132.46200561523438,0.0,-10.401944160461426,65.32666778564453,0.6589999794960022,14807.9345703125,0.0
434.0,261205.0,RO,NOVA MAMORE,GABRIEL JOSÉ DA SILVA,PFL,1967.0,54.0,0.0,2025.0,7708.0,-227.0,-0.11209876543209876,-0.029449922158796056,0.0,no,-2147483648,2004.0,1181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6949999928474426,0.06321674311926606,132.46200561523438,0.0,-10.401944160461426,65.32666778564453,0.6589999794960022,14807.9345703125,0.0
736.0,268283.0,RO,ALTO ALEGRE DOS PARECIS,AILTON ROQUE DE SOUZA,PSB,1965.0,49.0,0.0,543.0,4144.0,-160.0,-0.2946593001841621,-0.03861003861003861,0.0,no,0,2000.0,1981.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5180000066757202,0.10332027222107651,111.78199768066406,0.35010555946516536,-12.128055572509766,61.850555419921875,0.6740000247955322,12733.7421875,0.0
671.0,261901.0,RO,CAMPO NOVO DE RONDONIA,GERALDO BRAGA DA SILVA,PSB,1964.0,66.0,0.0,937.0,4446.0,-65.0,-0.06937033084311633,-0.014619883040935672,0.0,pending,-2147483648,2004.0,1181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6869999766349792,0.0504704875962361,212.1529998779297,0.04087140929246193,-10.596944808959961,63.612220764160156,0.6970000267028809,11486.2197265625,0.0
680.0,269893.0,RO,CUJUBIM,IRENE FATIMA RECH CECHINEL,PP,1982.0,51.0,0.0,768.0,2688.0,-42.0,-0.0546875,-0.015625,0.0,no,0,2000.0,1342.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6420000195503235,0.06296572280178837,191.79400634765625,0.0,-9.362777709960938,62.58527755737305,0.6949999928474426,6549.23974609375,0.0
680.0,261235.0,RO,CUJUBIM,NÉLI TERESINHA VEIGA DE OLIVEIRA,PPS,1961.0,35.0,0.0,587.0,4599.0,-110.0,-0.18739352640545145,-0.023918243096325287,0.0,yes,-2147483648,2004.0,1342.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6420000195503235,0.06296572280178837,191.79400634765625,0.0,-9.362777709960938,62.58527755737305,0.6949999928474426,6549.23974609375,0.0
612.0,270299.0,RO,GOVERNADOR JORGE TEIXEIRA,JOSIAS HONORATO DA SILVA,PTB,1958.0,52.0,0.0,1093.0,5758.0,-98.0,-0.08966148215919488,-0.017019798541160126,0.0,no,0,2000.0,1342.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290000081062317,0.08572300183038438,159.64300537109375,0.0,-10.524999618530273,62.643890380859375,0.6830000281333923,13668.6318359375,0.0
752.0,270983.0,RO,TEIXEIROPOLIS,LUIZ TASSINARI,PT,1968.0,44.0,0.0,783.0,3362.0,-69.0,-0.08812260536398467,-0.02052349791790601,0.0,pending,0,2000.0,1181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5519999861717224,0.16191942519887093,147.2779998779297,0.0,-10.917499542236328,62.24944305419922,0.6850000023841858,5629.3798828125,0.0
